Team,Leg 1,Leg 2,Leg 3,Leg 4,Leg 5,Leg 6
94,BD,AC,BC,AD,AE,BE
95,BC,AD,AE,AC,BD,BE
96,BE,AE,AD,BC,AC,BD
97,AC,BE,AD,AE,BC,BD
98,AE,BD,BE,BC,AC,AD
99,BD,AE,BC,AC,BE,AD
100,AE,AC,BD,BC,AD,BE
101,AE,BE,BD,AC,AD,BC
102,BD,BC,BE,AD,AE,AC
103,AD,BD,AC,AE,BE,BC
104,AC,BD,AE,BC,AD,BE
105,AD,BD,AC,BE,BC,AE
106,BE,AE,AD,BD,BC,AC
107,AD,BC,BE,AC,AE,BD
108,BE,AC,BD,AD,AE,BC
109,BD,AE,AD,BC,BE,AC
110,AE,BD,BC,AD,BE,AC
111,BD,BE,AD,AE,AC,BC
112,AD,BE,AE,AC,BD,BC
113,BD,BE,AC,AE,AD,BC
114,BD,BE,AD,AC,AE,BC
115,AE,AC,BD,BE,AD,BC
116,BD,AC,AE,BE,BC,AD
117,BD,AE,AD,BC,AC,BE
118,BE,BD,AE,AD,AC,BC
119,BD,BC,AD,AC,BE,AE
120,BD,BC,AC,AE,AD,BE
121,AE,BC,AC,AD,BD,BE
122,BD,AD,AC,BC,AE,BE
123,AC,BC,AD,BE,BD,AE
124,BE,AC,AE,AD,BC,BD
125,AE,AD,BC,BE,BD,AC
126,BE,BC,AC,BD,AE,AD
127,AC,AE,BD,BC,AD,BE
128,AD,BE,AE,BC,AC,BD
129,BE,AD,BD,AE,AC,BC
130,BE,AC,AD,BC,BD,AE
131,AC,BC,AD,BE,AE,BD
132,AC,BD,AE,BE,AD,BC
133,AC,BD,AE,BC,BE,AD
134,BC,AD,AE,BE,BD,AC
135,BD,AC,AE,BC,BE,AD
136,AE,AC,BC,BE,AD,BD
137,BD,AC,BC,AE,AD,BE
138,BD,AC,BE,AE,AD,BC
139,AD,BC,AC,BE,AE,BD
140,AD,AE,BC,AC,BD,BE
141,BE,AD,AC,BD,AE,BC
142,BC,AD,AE,BD,AC,BE
143,AC,BC,BD,BE,AD,AE
